Date,Open,High,Low,Close,Adj Close,Volume
2016-03-10,76.680000,76.809998,74.900002,75.739998,74.739464,486100
2016-03-11,76.650002,76.750000,75.449997,76.300003,75.292084,677300
2016-03-14,76.150002,76.790001,75.430000,76.589996,75.578239,625200
2016-03-15,76.150002,76.830002,75.029999,76.459999,75.449951,744100
2016-03-16,75.980003,77.150002,75.239998,76.910004,75.894020,506700
2016-03-17,76.930000,77.349998,76.269997,77.190002,76.170319,624400
2016-03-18,77.550003,78.029999,76.769997,77.480003,76.456482,1013900
2016-03-21,77.400002,78.059998,76.860001,78.000000,76.969612,578900
2016-03-22,77.470001,78.459999,77.160004,77.870003,76.841331,825700
2016-03-23,77.620003,77.930000,77.110001,77.519997,76.495949,506600
2016-03-24,76.480003,78.220001,76.410004,77.610001,76.584755,393100
2016-03-28,78.010002,78.360001,77.300003,77.760002,76.732788,639000
2016-03-29,77.550003,78.790001,77.550003,78.629997,77.591293,691200
2016-03-30,79.129997,79.169998,78.220001,78.730003,77.689980,336100
2016-03-31,78.940002,80.440002,78.750000,79.919998,78.864250,972200
2016-04-01,79.639999,80.260002,79.290001,80.190002,79.130692,690400
2016-04-04,80.010002,81.589996,79.190002,79.449997,78.400467,692400
2016-04-05,78.800003,79.400002,78.480003,78.709999,77.670235,479300
2016-04-06,78.550003,79.800003,78.419998,79.750000,78.696503,467900
2016-04-07,79.110001,79.739998,78.169998,78.269997,77.236038,765300
2016-04-08,78.050003,78.120003,77.290001,77.580002,76.555168,644700
2016-04-11,77.970001,77.989998,76.760002,76.839996,75.824951,537800
2016-04-12,76.980003,77.839996,76.930000,77.739998,76.713043,450000
2016-04-13,78.000000,78.699997,77.760002,78.570000,77.532082,555000
2016-04-14,78.550003,78.690002,77.440002,77.860001,76.831474,655200
2016-04-15,77.860001,78.290001,77.430000,78.150002,77.117638,476400
2016-04-18,78.190002,78.900002,77.860001,78.610001,77.571564,523300
2016-04-19,78.720001,79.010002,78.309998,78.599998,77.561691,435800
2016-04-20,78.610001,78.959999,78.160004,78.589996,77.551819,482000
2016-04-21,78.440002,78.769997,78.010002,78.059998,77.028824,516100
2016-04-22,77.809998,78.610001,77.809998,78.190002,77.157112,569800
2016-04-25,78.180000,78.540001,77.930000,78.430000,77.393936,389300
2016-04-26,78.110001,78.940002,78.059998,78.790001,77.749184,431700
2016-04-27,78.879997,79.160004,78.059998,78.699997,77.660370,664400
2016-04-28,78.410004,79.430000,78.339996,78.680000,77.640625,581600
2016-04-29,78.070000,78.459999,77.070000,77.580002,76.555168,799600
2016-05-02,77.680000,78.169998,77.400002,77.779999,76.752525,501600
2016-05-03,77.300003,77.440002,76.410004,77.129997,76.111099,953400
2016-05-04,76.419998,78.000000,76.290001,77.489998,76.466354,1006700
2016-05-05,77.419998,77.949997,77.059998,77.230003,76.209785,734000
2016-05-06,76.889999,78.010002,76.800003,77.849998,76.821587,674000
2016-05-09,78.010002,78.440002,77.470001,77.769997,76.742661,512300
2016-05-10,78.129997,78.839996,77.889999,78.760002,77.719574,411600
2016-05-11,78.629997,78.690002,77.349998,77.459999,76.436752,490700
2016-05-12,77.800003,78.099998,76.959999,77.809998,76.782120,580100
2016-05-13,77.599998,77.779999,77.059998,77.080002,76.061768,566700
2016-05-16,77.120003,78.230003,77.029999,77.900002,76.870926,527500
2016-05-17,77.790001,77.970001,76.750000,76.860001,75.844673,477400
2016-05-18,76.629997,76.959999,75.889999,76.660004,75.647316,854000
2016-05-19,75.959999,76.529999,75.760002,76.339996,75.331543,649400
2016-05-20,76.489998,77.250000,76.290001,77.040001,76.022285,1123700
2016-05-23,77.059998,77.290001,76.839996,76.989998,75.972961,373900
2016-05-24,77.260002,79.019997,77.059998,78.790001,77.749184,473300
2016-05-25,78.900002,79.489998,78.620003,79.180000,78.134026,490500
2016-05-26,79.000000,79.279999,78.680000,78.980003,77.936668,324200
2016-05-27,78.930000,79.570000,78.930000,79.260002,78.212982,473200
2016-05-31,79.570000,79.620003,78.910004,79.389999,78.341263,952600
2016-06-01,79.059998,79.440002,78.940002,79.440002,78.390594,538900
2016-06-02,79.099998,79.989998,79.000000,79.980003,78.923462,480900
2016-06-03,79.430000,80.029999,79.029999,79.779999,78.726097,1349300
2016-06-06,79.720001,80.160004,79.379997,79.900002,78.844505,704000
2016-06-07,79.900002,80.110001,79.379997,79.620003,78.568207,759100
2016-06-08,79.769997,80.129997,79.169998,79.919998,78.864250,537300
2016-06-09,79.820000,79.930000,79.209999,79.580002,78.528755,572300
2016-06-10,78.730003,79.769997,78.430000,78.760002,77.719574,534400
2016-06-13,78.809998,79.559998,78.809998,79.099998,78.055084,779200
2016-06-14,78.879997,79.860001,78.540001,78.860001,77.818245,499400
2016-06-15,78.919998,79.110001,78.309998,78.389999,77.354462,522800
2016-06-16,78.260002,78.620003,77.559998,78.419998,77.384056,673600
2016-06-17,78.459999,78.480003,77.529999,77.800003,76.772263,967200
2016-06-20,78.510002,79.250000,78.500000,78.919998,77.877457,475700
2016-06-21,78.949997,80.360001,78.779999,80.160004,79.101082,958300
2016-06-22,79.940002,80.500000,78.839996,78.959999,77.916931,659800
2016-06-23,79.559998,80.160004,79.010002,80.129997,79.071480,440700
2016-06-24,77.250000,78.760002,76.349998,77.959999,76.930145,1596000
2016-06-27,77.309998,78.010002,75.720001,76.000000,74.996033,729900
2016-06-28,76.599998,77.910004,76.099998,77.470001,76.446625,597100
2016-06-29,77.830002,79.180000,77.019997,79.160004,78.114288,571700
2016-06-30,79.370003,81.089996,78.019997,81.080002,80.008934,862500
2016-07-01,81.080002,81.430000,80.580002,80.930000,79.860909,462100
2016-07-05,80.639999,81.720001,80.639999,81.620003,80.541786,664700
2016-07-06,81.260002,81.760002,80.739998,81.660004,80.581268,545000
2016-07-07,81.570000,82.150002,81.269997,81.849998,80.768768,465700
2016-07-08,82.209999,83.400002,82.070000,83.400002,82.298271,660000
2016-07-11,83.480003,84.440002,83.190002,84.019997,82.910080,805300
2016-07-12,84.500000,84.620003,83.849998,84.480003,83.364014,569900
2016-07-13,85.000000,85.000000,84.349998,84.709999,83.590973,492000
2016-07-14,85.199997,85.709999,84.959999,85.599998,84.469223,614500
2016-07-15,86.000000,86.000000,85.080002,85.239998,84.113968,476300
2016-07-18,85.470001,85.540001,84.980003,85.059998,83.936348,474300
2016-07-19,84.750000,85.559998,84.660004,85.540001,84.410004,397000
